epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,296.165,1.4226,2.26274,1.62759,0.5812,0.5016,0.48545,0.30085,1.38084,2.41329,1.72964,0.000547118,0.000547118,0.000547118
2,598.459,1.39565,1.66511,1.54646,0.62441,0.47433,0.54602,0.25935,1.72935,2.35198,2.31572,0.00108095,0.00108095,0.00108095
3,913.143,1.43239,1.61035,1.57377,0.32511,0.51114,0.37774,0.1716,1.84217,2.47959,2.17429,0.00159278,0.00159278,0.00159278
4,1219.87,1.44047,1.5303,1.57121,0.57671,0.56848,0.52754,0.27025,1.75946,1.75078,2.05925,0.00156798,0.00156798,0.00156798
5,1530.74,1.41,1.43044,1.54708,0.44975,0.3998,0.36951,0.19439,1.74187,3.09883,1.97719,0.00153497,0.00153497,0.00153497
6,1848.48,1.38604,1.36763,1.52409,0.62224,0.5865,0.5574,0.28333,1.65632,1.75971,2.04713,0.00150197,0.00150197,0.00150197
7,2165.13,1.38313,1.3355,1.53834,0.69493,0.61271,0.68561,0.39157,1.46624,1.25942,1.80358,0.00146896,0.00146896,0.00146896
8,2468.5,1.314,1.26483,1.49953,0.65223,0.62566,0.63694,0.37138,1.33583,1.44611,1.64385,0.00143595,0.00143595,0.00143595
9,2765.38,1.29815,1.22413,1.48396,0.75877,0.72932,0.75174,0.41585,1.47562,1.15007,1.77968,0.00140295,0.00140295,0.00140295
10,3066.33,1.32394,1.18355,1.46323,0.74931,0.74657,0.79248,0.4737,1.39772,1.06651,1.66221,0.00136994,0.00136994,0.00136994
11,3380.48,1.29183,1.20735,1.45693,0.71251,0.74636,0.77663,0.4716,1.37167,1.1474,1.63792,0.00133693,0.00133693,0.00133693
