epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,537.616,1.39553,2.26243,1.60666,0.4692,0.55083,0.41382,0.22407,1.40979,2.36527,1.80002,0.000547118,0.000547118,0.000547118
2,837.313,1.37651,1.69754,1.55614,0.57773,0.56019,0.57713,0.33095,1.59102,2.03049,2.01904,0.00108095,0.00108095,0.00108095
3,1128.37,1.42698,1.59226,1.54868,0.70125,0.23739,0.22236,0.09634,2.04737,4.78796,2.19287,0.00159278,0.00159278,0.00159278
4,1466.16,1.42094,1.54123,1.57189,0.56532,0.6674,0.67644,0.35652,1.5352,1.69687,1.84921,0.00156798,0.00156798,0.00156798
5,1801.22,1.38673,1.44592,1.52156,0.41894,0.64222,0.4365,0.19957,1.76636,2.06826,1.9859,0.00153497,0.00153497,0.00153497
6,2406.57,1.40656,1.3743,1.54175,0.63214,0.62806,0.65284,0.36379,1.49732,1.54878,1.80864,0.00150197,0.00150197,0.00150197
7,2933.2,1.34189,1.28992,1.50698,0.73656,0.68585,0.72378,0.39019,1.51009,1.28853,1.82344,0.00146896,0.00146896,0.00146896
